order_id,customer_id,product_id,order_date,quantity,total_amount
65,44,15,2024-08-14,1,60
66,27,12,2024-03-21,2,100
67,28,16,2024-07-14,5,200
68,7,15,2024-11-07,1,60
69,30,10,2024-04-17,1,25
70,45,11,2023-08-11,5,100
71,23,18,2023-01-24,5,500
72,47,2,2023-05-09,4,5196
73,19,12,2024-10-08,5,250
74,11,19,2023-06-16,1,25
75,46,20,2024-11-13,2,120
76,2,16,2023-01-02,4,160
77,3,19,2023-10-27,3,75
78,27,18,2023-03-03,5,500
79,22,18,2023-06-12,4,400
80,28,4,2024-01-19,1,699
81,23,15,2024-03-17,5,300
82,11,17,2023-02-17,4,320
83,35,4,2024-02-27,5,3495
84,34,16,2024-04-14,4,160
85,11,13,2024-04-05,5,400
86,15,16,2023-05-20,3,120
87,36,16,2023-03-10,2,80
88,24,6,2023-12-15,1,29
89,16,12,2024-08-21,2,100
90,23,2,2023-12-27,2,2598
91,46,8,2024-01-02,1,15
92,6,15,2024-10-06,3,180
93,13,7,2024-11-22,2,90
94,7,21,2023-05-18,4,360
95,44,21,2023-08-26,4,360
96,29,3,2024-04-09,4,796
97,50,12,2023-08-19,5,250
98,6,21,2023-01-24,4,360
99,43,20,2023-04-25,5,300
100,31,7,2023-12-19,3,135
101,9,11,2023-02-19,4,80
102,49,15,2023-06-14,5,300
103,44,14,2024-11-16,5,600
104,17,4,2024-08-06,3,2097
105,23,19,2024-10-15,3,75
106,17,5,2023-12-11,5,2495
107,10,1,2023-05-04,5,4995
108,45,8,2024-09-06,1,15
109,35,12,2024-07-01,2,100
110,8,7,2024-08-31,1,45
111,45,15,2023-11-08,3,180
112,25,21,2023-11-09,1,90
113,20,4,2024-07-13,1,699
114,44,18,2023-01-11,4,400
115,24,14,2023-01-26,3,360
116,7,10,2024-06-25,4,100
117,38,14,2024-11-07,1,120
118,39,18,2023-06-10,5,500
119,34,11,2024-07-10,5,100
120,49,12,2024-01-18,3,150
121,21,19,2023-01-26,1,25
122,42,4,2023-08-23,2,1398
123,2,19,2023-05-06,4,100
124,46,7,2024-02-11,4,180
125,44,21,2023-02-04,3,270
126,30,18,2023-01-13,4,400
127,44,21,2024-03-17,3,270
128,20,3,2023-01-19,2,398
129,40,11,2024-04-25,3,60
130,50,21,2023-05-25,1,90
131,7,14,2023-10-25,4,480
132,9,8,2024-03-14,5,75
133,25,2,2024-03-13,3,3897
134,37,8,2023-05-26,2,30
135,19,17,2023-11-20,2,160
136,26,2,2023-11-06,3,3897
137,4,1,2023-11-04,3,2997
138,7,3,2024-07-28,2,398
139,8,13,2024-11-24,3,240
140,20,4,2023-10-12,4,2796
141,37,1,2024-11-18,2,1998
142,46,12,2024-10-17,1,50
143,7,6,2024-04-01,1,29
144,18,21,2024-10-20,2,180
145,45,3,2024-11-01,1,199
146,4,12,2024-04-20,4,200
147,3,18,2023-02-11,4,400
148,1,4,2024-11-10,5,3495
149,3,17,2023-10-01,1,80
150,12,17,2023-03-18,3,240
151,23,6,2024-02-29,3,87
152,46,3,2024-07-26,1,199
153,9,14,2024-02-09,4,480
154,49,16,2023-05-27,2,80
155,12,8,2024-05-19,3,45
156,49,17,2023-01-18,5,400
157,4,9,2023-01-20,3,105
158,25,9,2023-05-07,2,70
159,46,5,2023-10-11,2,998
160,41,12,2024-11-01,1,50
161,14,11,2024-01-22,4,80
162,2,16,2024-10-30,3,120
163,38,19,2023-02-24,2,50
164,45,2,2023-02-24,2,2598
165,37,13,2024-10-17,5,400
166,43,11,2023-11-30,2,40
167,39,3,2023-01-28,3,597
168,23,20,2024-01-28,2,120
169,31,7,2024-03-23,5,225
170,50,15,2024-06-14,2,120
171,45,15,2023-08-15,1,60
172,40,14,2023-08-11,3,360
173,29,21,2023-11-22,3,270
174,22,10,2023-05-31,4,100
175,42,15,2024-03-14,4,240
176,16,15,2024-04-15,2,120
177,12,9,2023-01-04,4,140
178,15,15,2024-08-26,3,180
179,22,3,2024-10-08,5,995
180,41,12,2024-03-28,2,100
181,26,16,2023-05-14,1,40
182,16,8,2024-10-30,3,45
183,44,18,2023-10-19,3,300
184,6,8,2024-09-12,4,60
185,47,18,2023-10-04,2,200
186,4,11,2024-11-22,5,100
187,11,14,2023-02-10,4,480
188,39,2,2023-09-26,4,5196
189,30,18,2024-03-28,5,500
190,30,9,2024-02-23,3,105
191,28,15,2024-06-19,2,120
192,19,6,2024-02-17,3,87
193,44,6,2023-10-19,2,58
194,35,19,2023-03-26,2,50
195,27,21,2024-01-01,3,270
196,47,15,2024-02-09,4,240
197,35,16,2024-05-20,3,120
198,42,17,2023-06-27,2,160
199,26,5,2024-03-12,3,1497
200,42,21,2023-03-23,1,90
